returnAddress	amount	tokenSymbol	tokenAddr	oldWallet	newWallet
'	'1	'ETH	'0x0000000000000000000000000000000000000000	'0x9a89bcf8960cfa516de8521e62621fc39b3d3a04	'0xa4456d532d18cc1b1d0b1f5d4a4c01c7d9691a7d
'	'3063563208205383416	'ETH	'0x0000000000000000000000000000000000000000	'0x7cda7e8f32f2c37e4aae627a98ed130eb4a678f8	'0xa4dc86555ae103fa7be4e747521d96fcb493d644
'	'1071610360000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x4c7e21914b6a1c7183455134e24023e88ee90cd1	'0xa54d0578177bfa14df82458a55466b44e2a33d30
'	'1280317061668528324	'ETH	'0x0000000000000000000000000000000000000000	'0xd1f4b2bb61b2dec72d5222a6beb062a9575d6804	'0xa8a15ae94025c4b8b057ce82cd93e593b7e75499
'	'10000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x6dbb825564e85925b0414fdbd41f764ec475c59b	'0xadbda5288a6e348445604e9f5860457f6132f5a6
'	'25000000000000000001	'ETH	'0x0000000000000000000000000000000000000000	'0x062d1816ea36366a714c34b9b283f4d377dc0191	'0xaf766478aa284bb69b85a344ca0072e86dc70025
'	'100000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x22dc62c96de482743b231f29326a3d18b2d73eb2	'0xb0ff60748787face47b3dd200d32fc0f51692666
'	'54298200000	'STORJ	'0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac	'0x22dc62c96de482743b231f29326a3d18b2d73eb2	'0xb0ff60748787face47b3dd200d32fc0f51692666
'	'82128068909600000000	'ETH	'0x0000000000000000000000000000000000000000	'0x9ce7318fc46cddfaf3089327b4d58d54784e541c	'0xb1a19e2ed12b1c1e427e911a70ece7f8c169fbd3
'	'20808085094	'TRST	'0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b	'0x2aab51f6c6dac9c4484e22220bf97dfe1431950a	'0xb1d4a0515b0c6ff763b5e6daf4d2f6f8cb93c95b
'	'4930250000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x0cc12572d4028e492a919fe82feeda53fe43782f	'0xb2c0c13a0a6adbc30b6907e50a0855ee3365f100
'	'678041000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x4e2d0c204554c7f9cb1e3b3ac1e83dd3b4fc9622	'0xb3ec214cc056b637662a20457a417a4568291690
'	'5000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x50073fbd5814cad94e60e85407dca3695d8d0439	'0xb4b8e5bfa9ba09da2acbea4acaaaf4e2bf0585fd
'	'290000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x3085335d03541c007fb7b15e9112ca1f364ad8bb	'0xb9270f0f1fcad1019f5c3ab140d30d3aee3e1f35
'	'80000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd7c33aaff9e1fe4e970aee0bcf999a0f9c528b75	'0xb92ad5be4597e87b540f04c867f2b47d169d32f0
'0xc177c7b397e5cc44370921a07e6c8fe8704c1df7	'100100000000	'MTL	'0xf433089366899d83a9f26a773d59ec7ecf30355e	'0xce9f93eb7f78fcb7e7d222c81f258535dc218d4b	'0xbb1ad01b083f8d870c4c8bc0fb17beb620095bbf
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd707e69e6644c2d9709a21acd7b8fbfe5a6de1f6	'0xbd1c431f3874e475b3e74c4b7a2754aed252a4dc
'0xc0ffeece5397f30e18a8dd7a92644178675fbbbe	'28419574759402935608	'ETH	'0x0000000000000000000000000000000000000000	'0x111b3d565f5da36b1decdf19dfbb26dc6cd970c6	'0xc0007ad0bd9ca4e53f62ac0a83ebfb5ac436126b
'	'100000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x06c1edc5d0fb879ab8b129dcff1f7b704782508b	'0xc039518d5c96e03cdb15e5268043c69848a34f87
'	'10000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8d2ee01dd9e947067fda69e3b62064556a92d1c8	'0xc1aeae7852838d67922fb6b1c365dc75836a9fb5
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'349420000000	'TRST	'0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'120000000000000000000000	'BNT	'0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'700085714266065750154000	'GNT	'0xa74476443119a942de498590fe1f2454d7d4ac0d	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'920383491237753096525000	'EOS	'0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'18729683654445730378095	'ETH	'0x0000000000000000000000000000000000000000	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'183035641140000000000000	'FST	'0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'5000000000000000000	'NDC	'0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'3600000000000000000000	'MLN	'0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'6007850094570	'DGD	'0xe0b7927c4af23765cb51314a0e0521a9645f0e2a	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'5842248855420000000000	'REP	'0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'267923840000000000000000	'WINGS	'0x667088b212ce3d06a1b553a7221e1fd19000d9af	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'	'50000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x2c6647d4c95b9e064ceb48727cb4f4918c16d824	'0xc543f89ef8f38c850db88be0f3e214088c1f9d74
'	'1000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8ee1dfed72c8c401da3525033d471420a1da466b	'0xc68c6c785d98f096ebd67b9b2d8b2cbde2a516b8
'	'70326052000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xf9ee19fa632d737af5614f646c0ce10ec7694031	'0xc74ac4333dd62328128202a81396d088349eaf3a
'	'13500000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb7aa741108ae27e02401fef2101114e5b8bb0ad9	'0xc9580844390e8b716177a0c85f83c3d4d18d708a
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x1971066fa9419a03a07cca394204915818d6c140	'0xcb6ef0ca25d06ec03b6bb01189b7e10635d0ce23
'	'1999998000000	'FUN	'0x419d0d8bdd9af5e606ae2232ed285aff190e711b	'0xe847fb549244df7d1370fff369ed82e2b894d23f	'0xcc667b91f815d2dd59ba43a070cd36aab645f411
'	'10000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x779cdcb772d2afd7a74418637382d40b4a4330fb	'0xccebb54b42b8b558dbbae59838b284098191a9c4
'0x00133f358c55671599e8ff2c9e85bfa5856d5a98	'1452206529871658101802	'ETH	'0x0000000000000000000000000000000000000000	'0x248c9bae4fee646906821155ef1a538e7ca978ec	'0xd2c6f8a5664d5c83386570230e72757e568100b5
'	'18982748469600000000000	'GNT	'0xa74476443119a942de498590fe1f2454d7d4ac0d	'0x51ac2051db10b0d05462ef1d7c3f7afd43ed8be7	'0xd6ebfc894fcd03608f1a685d475eb2ea85dd0b12
'	'550000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x50126e8fcb9be29f83c6bbd913cc85b40eaf86fc	'0xd9482c1d3270dbd8b1f4247ac85eb8aee8012b17
'	'999999999999999	'ETH	'0x0000000000000000000000000000000000000000	'0xc965c6ef32ccc278181cbc68573fa0a5f1997b17	'0xdbba4a8c9852f46ab68d9e0aa5bcf8fad960e710
'	'500000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xfd2b11f7e1b58c7f9ccf5479aab8ed4bf7a7ee8b	'0xdcae3eac1f6363b04b3c08d1a03ef61268886538
'	'24475916210000000000	'MLN	'0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1	'0xb12100ad65600ece950a8485e6304211c0a38493	'0xde6d180e77aba054b086d4e07b9a29b726113869
'	'1438045657734000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	'0xde967734f602db0b83dba794e68e1d5f38b3c75f
'	'249999990000000000000000	'BAT	'0x0d8775f648430679a709e98d2b0cb6250d2887ef	'0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	'0xde967734f602db0b83dba794e68e1d5f38b3c75f
'	'4500000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x6263c353994c14654f2b8d343dc8de2f0eecbea0	'0xe0c8601578242828ab8aa3f44b1e6b700592ba96
'	'1000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xe18b0c48a7d1e9dfa333157fa222c783f35044a7	'0xe75244fe1bdb7400e5503e5cf3c0fa8f799dbea5
'	'566909256470000000000	'ICN	'0x888666ca69e0f178ded6d75b5726cee99a87d698	'0xffa9477927cf6a7cd2ccd4cb23ca2349520ef872	'0xf00e828ac68ff18cf563a9cef031fdcb8cd650e2
'	'418045055980000000000	'GNT	'0xa74476443119a942de498590fe1f2454d7d4ac0d	'0xffa9477927cf6a7cd2ccd4cb23ca2349520ef872	'0xf00e828ac68ff18cf563a9cef031fdcb8cd650e2
'	'1000000000000000000	'BAT	'0x0d8775f648430679a709e98d2b0cb6250d2887ef	'0xa3a22aed1d45342c96012c64104bb8b121eca07c	'0xf2020f42a1df8449f86e479495fed805256b4f6f
'	'993861778431750000	'ETH	'0x0000000000000000000000000000000000000000	'0x1f6cbb740f7eeb4806276376e7378dd1fa36fc11	'0xf48236dbd776128a1fef2ae40bfbd3dcefe5397b
'	'11000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x69ad38baa72a277cb83d1eccc6279552e0f25dc0	'0xf8e2641de6dc60005e91c6b6ba3565e8c786b444
'	'200000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x80be1f02d789db2704be5a9f6b97ec8713ebc529	'0xf98e7bfef6101dd19c11d735ec162fec9157c9c7
'	'4300000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xa73c7171cda453bb44000c80f6a9221718b16211	'0xfa2d4cae45d48e78129c0ce7a14800ce54dbd40f
'0xbdc21fae769d7f5469993d8e83b465495d88cfc0	'12000587000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x7bf67bdbf58a3c7a6eab82788273960702fb4dc9	'0xfc41c5b91d8cfcadf7daf6476f1e0ea9eb5a5b5f
'	'100000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x3d52571f1ce8f035da1c1ed716f3055790274549	'0xfc949d6501a21be57c4edfa378f53a5fd0ce9d15
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x03a62c4b61e7118025b8c253b2e09cf74ca0f31a	'0xfecbcba2890cb9bae294537674e4f2dd4550f482
